id,Date,number of bedrooms,number of bathrooms,living area,lot area,waterfront present,number of views,condition of the house,grade of the house,Area of the house(excluding basement),Area of the basement,Built Year,Renovation Year,Postal Code,Lattitude,Longitude,living_area_renov,lot_area_renov,Number of schools nearby,Distance from the airport,Price,Total Rooms,House Age,Living Area Ratio,number of floors_1.5,number of floors_2.0,number of floors_2.5,number of floors_3.0,number of floors_3.5
6762810145,0,5,2.5,3650,9050,0,4,5,10,3370,280,1921,0,122003,52.8645,-114.557,2880,5400,2,58,14.682611465815636,7.5,104,0.40331491712707185,False,True,False,False,False
6762810635,0,4,2.5,2920,4000,0,0,5,8,1910,1010,1909,0,122004,52.8878,-114.47,2470,4000,2,51,14.151983508870947,6.5,116,0.73,True,False,False,False,False
6762810998,0,5,2.75,2910,9480,0,0,3,8,2910,0,1939,0,122004,52.8852,-114.468,2940,6600,1,53,13.997832948091215,7.75,86,0.3069620253164557,True,False,False,False,False
6762812605,0,4,2.5,3310,42998,0,0,3,9,3310,0,2001,0,122005,52.9532,-114.321,3350,42847,3,76,13.63877457278093,6.5,24,0.07698032466626355,False,True,False,False,False
6762812919,0,3,2.0,2710,4500,0,0,4,8,1880,830,1929,0,122006,52.9047,-114.485,2060,4500,1,51,13.598598798635953,5.0,96,0.6022222222222222,True,False,False,False,False
6762813105,0,3,2.5,2600,4750,0,0,4,9,1700,900,1951,0,122007,52.9133,-114.59,2380,4750,1,67,13.579789490265188,5.5,74,0.5473684210526316,False,False,False,False,False
6762813157,0,5,3.25,3660,11995,0,2,3,10,3660,0,2006,0,122008,52.7637,-114.05,3320,11241,3,72,13.573440270649085,8.25,19,0.3051271363067945,False,True,False,False,False
6762813599,0,3,1.75,2240,10578,0,0,5,8,1550,690,1923,0,122006,52.9254,-114.482,1570,10578,3,71,13.527829818844937,4.75,102,0.21176025713745508,False,True,False,False,False
6762813600,0,3,2.5,2390,6550,0,2,4,8,1440,950,1955,0,122009,52.8014,-114.598,2010,6550,1,73,13.527829818844937,5.5,70,0.3648854961832061,False,False,False,False,False
6762814461,0,4,2.25,2200,11250,0,0,5,7,1300,900,1920,0,122010,52.9145,-114.391,2320,10814,2,53,13.455975814408239,6.25,105,0.19555555555555557,True,False,False,False,False
6762814787,0,5,2.5,2820,67518,0,0,3,8,2820,0,1979,0,122011,52.8094,-114.215,2820,48351,2,51,13.42246945133505,7.5,46,0.04176664000710922,False,True,False,False,False
6762815225,0,4,2.0,1820,5000,0,1,3,7,1640,180,1945,0,122006,52.9115,-114.459,2060,5000,2,69,13.384729180332174,6.0,80,0.364,True,False,False,False,False
6762815461,0,4,2.0,1520,6200,0,0,3,7,1520,0,1945,0,122006,52.908,-114.459,1910,6200,3,80,13.369225017834633,6.0,80,0.24516129032258063,True,False,False,False,False
6762815654,0,4,2.75,2710,37277,0,0,3,9,2710,0,2000,0,122012,52.6934,-114.177,2390,39299,1,74,13.353476685668044,6.75,25,0.07269898328728171,False,True,False,False,False
6762815737,0,3,2.25,1750,1572,0,0,3,9,1470,280,2005,0,122013,52.8798,-114.511,2410,3050,3,51,13.347107247525049,5.25,20,1.11323155216285,False,False,True,False,False
6762815748,0,4,2.5,2820,8408,0,0,3,9,2820,0,2014,0,122014,52.9838,-114.515,1300,8408,3,55,13.345508528717259,6.5,11,0.33539486203615604,False,True,False,False,False
6762815749,0,4,3.25,2730,54014,0,0,3,9,1560,1170,2007,0,122015,52.7433,-114.3,2730,111274,1,70,13.345508528717259,7.25,18,0.05054245195690006,False,False,False,False,False
